11.03.2026,14:00,Stockholm
12.03.2026,14:00,Helsinki
13.03.2026,14:00,Tallinn
14.03.2026,14:00,Tromsø
15.03.2026,14:00,Copenhagen
16.03.2026,14:00,Warsaw
17.03.2026,14:00,Dubrovnik
18.03.2026,14:00,Belgrade
19.03.2026,14:00,Sarajevo
20.03.2026,14:00,Milan
21.03.2026,14:00,Rome
22.03.2026,14:00,Izmir
23.03.2026,14:00,Antalya
24.03.2026,14:00,Istanbul
25.03.2026,14:00,Sofia
26.03.2026,14:00,Bucharest
27.03.2026,14:00,Budapest
28.03.2026,14:00,Berlin
29.03.2026,14:00,Amsterdam
30.03.2026,14:00,Brussels
31.03.2026,14:00,London
01.04.2026,14:00,Glasgow
02.04.2026,14:00,Barcelona
03.04.2026,14:00,Paris
04.04.2026,14:00,Porto
05.04.2026,14:00,Madrid



















